directory,candidate,stage,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_medianPct
rsi-stock-development,rsi-14-30,development,46,0,0,-0.02819197374997473,-4.826897643750006,-7.042897412500004,-9.106950398987523,1,14,0,-0.1800269937499821
etf-validation,momentum-120-3,validation,45,13,28.888888888888886,-3.528116178749996,-9.492873966149993,-12.9324919075,-16.092559646889804,7,13,2,-3.3927818
etf-validation,momentum-60-3,validation,45,12,26.666666666666668,-1.070628412250041,-10.13102855099998,-11.697716955499981,-13.978092967506795,14,13,3,-1.77188370100001
etf-validation,momentum-20-3,validation,45,13,28.888888888888886,0.022578837250009087,-9.084994245000026,-11.988628412750035,-12.826479815749048,13,13,3,0.022578837250009087
etf-validation,recovery-60-3,validation,45,4,8.88888888888889,0.29556564674999564,-4.8846488266,-9.130621140749962,-10.31035696315865,13,13,1,-1.3026082380000026
etf-validation,recovery-60-3-monthly,validation,45,3,6.666666666666667,-0.24842017450000808,-3.7714909431499843,-7.582420190250028,-8.323972284199055,6,13,0,-0.4657506742499873
etf-validation,recovery-40-3-monthly,validation,45,4,8.88888888888889,-0.2484201745000192,-3.3329240804000038,-7.3225595584999965,-8.197103811051875,6,13,1,-1.3589061869999863
etf-validation,recovery-80-3-monthly,validation,45,5,11.11111111111111,-0.6418814917500293,-3.8588718764999896,-7.143399622499991,-11.00617495825852,3,13,1,-0.4657506742499873
stock-validation,momentum-20-5-monthly,validation,45,14,31.11111111111111,-3.948878592500016,-11.372505641000002,-14.837675057499988,-17.81523326069514,0,13,5,-3.948878592500016
stock-validation,momentum-20-3-monthly,validation,45,15,33.33333333333333,-3.81814290000001,-12.21533721899999,-13.319489610000002,-16.885082115453574,0,13,3,-3.81814290000001
stock-validation,momentum-60-5-monthly,validation,45,17,37.77777777777778,-3.338820379999996,-11.001975948999997,-13.145696287499998,-14.35163377318851,0,13,5,-6.075860744999995
stock-validation,momentum-20-5,validation,45,14,31.11111111111111,-3.3829038825000213,-10.949209540999984,-12.488103877499967,-14.098444783205732,0,13,3,-7.446670515999976
stock-validation,recovery-60-3-monthly,validation,45,7,15.555555555555555,-0.3583501150000057,-7.375048092999994,-9.62543775,-11.201806486396526,0,13,2,-0.8481326500000108
stock-validation,recovery-40-3-monthly,validation,45,7,15.555555555555555,-0.9602722249999918,-4.912340541000009,-7.0569355924999915,-10.326075523673605,0,13,1,-0.8481326500000108
