directory,candidate,condition,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
followup/ema-confirmation,ema-12-26-0.3,all,29,11,37.93103448275862,1.4304711075000087,-8.58299999480002,-10.65713936399999,48.275862068965516,-12.538796372851124,0,9,1,11.11111111111111,-1.2410355090000214,-10.216062246800002,-10.65713936399999,66.66666666666666,-10.83092935144645,0
followup/ema-confirmation,ema-12-26-0.3,export_growth,9,2,22.22222222222222,-1.6230417415000198,-4.9939694048000085,-9.486374683999998,66.66666666666666,-10.83092935144645,0,5,2,40.0,-1.6230417415000198,-6.378989644400001,-9.486374683999998,60.0,-10.655676752054099,0
followup/ema-confirmation,ema-12-26-0.3,recovery,2,0,0.0,-4.4383593697500165,-7.573396931950023,-8.357156322500025,100.0,-12.538796372851124,0,2,0,0.0,-4.4383593697500165,-7.573396931950023,-8.357156322500025,100.0,-12.538796372851124,0
followup/ema-confirmation,ema-12-26-0.3,export_recovery,0,,,,,,,,,0,,,,,,,,
followup/ema-confirmation,ema-20-60-0.3,all,29,11,37.93103448275862,5.669157859999974,-7.444877334499995,-10.011351459000018,27.586206896551722,-10.683452802631543,0,9,2,22.22222222222222,4.637962610500002,-9.372702923800007,-10.011351459000018,33.33333333333333,-10.48076720415352,0
followup/ema-confirmation,ema-20-60-0.3,export_growth,9,3,33.33333333333333,2.1188432069999985,-6.4897384036000005,-9.213040790000004,44.44444444444444,-10.115489628891183,0,5,2,40.0,5.669157859999974,-2.6378104014000003,-5.808912807,20.0,-8.687227620177108,0
followup/ema-confirmation,ema-20-60-0.3,recovery,2,0,0.0,-4.288535626250006,-8.095560791250007,-9.047317082500006,50.0,-10.683452802631543,0,2,0,0.0,-4.288535626250006,-8.095560791250007,-9.047317082500006,50.0,-10.683452802631543,0
followup/ema-confirmation,ema-20-60-0.3,export_recovery,0,,,,,,,,,0,,,,,,,,
followup/ema-confirmation,ema-5-20-0.3,all,29,7,24.137931034482758,0.12295336299998905,-10.2961988734,-11.591891868500003,48.275862068965516,-12.511295748363215,0,9,2,22.22222222222222,0.1243823775000319,-10.503671455299996,-11.591891868500003,44.44444444444444,-12.511295748363215,0
followup/ema-confirmation,ema-5-20-0.3,export_growth,9,1,11.11111111111111,0.1243823775000319,-10.556895284800019,-10.566360588000013,44.44444444444444,-12.102523958010869,0,5,1,20.0,4.096144568500004,-6.474106753600006,-10.55452895900002,40.0,-12.102523958010869,0
followup/ema-confirmation,ema-5-20-0.3,recovery,2,0,0.0,-8.784141731500007,-9.469825866700003,-9.6412469005,100.0,-12.14058360821182,0,2,0,0.0,-8.784141731500007,-9.469825866700003,-9.6412469005,100.0,-12.14058360821182,0
followup/ema-confirmation,ema-5-20-0.3,export_recovery,0,,,,,,,,,0,,,,,,,,
followup/earnings-development,earnings-126-3,all,46,0,0.0,0.0,-7.259894043749992,-13.376361450000008,41.30434782608695,-13.376361450000008,0,14,0,0.0,0.0,-6.686507094500007,-7.047773324999984,42.857142857142854,-10.102204503037694,0
followup/earnings-development,earnings-126-3,export_growth,12,0,0.0,0.0,-7.417378619999998,-9.119821385000005,25.0,-11.093365540123601,0,6,0,0.0,-2.932335000000003,-8.3548615925,-9.119821385000005,50.0,-11.093365540123601,0
followup/earnings-development,earnings-126-3,recovery,10,0,0.0,-2.6846525525,-7.098472055000007,-9.119821385000005,60.0,-11.093365540123601,0,7,0,0.0,-0.9564903999999874,-7.166730554000005,-9.119821385000005,57.14285714285714,-11.093365540123601,0
followup/earnings-development,earnings-126-3,export_recovery,2,0,0.0,-7.492245692500005,-8.794306246500005,-9.119821385000005,100.0,-11.093365540123601,0,2,0,0.0,-7.492245692500005,-8.794306246500005,-9.119821385000005,100.0,-11.093365540123601,0
followup/earnings-development,earnings-126-5,all,46,0,0.0,0.0,-6.034042499999981,-10.294506030000006,39.130434782608695,-10.569311264366888,0,14,0,0.0,0.0,-5.41459052249999,-8.730264624999995,42.857142857142854,-10.509758922391176,0
followup/earnings-development,earnings-126-5,export_growth,12,0,0.0,0.0,-4.461437905999997,-9.377759254999996,25.0,-10.569311264366888,0,6,0,0.0,-1.7397971499999998,-6.974145447499996,-9.377759254999996,50.0,-10.569311264366888,0
followup/earnings-development,earnings-126-5,recovery,10,0,0.0,-1.5967500775000087,-8.795014087999995,-9.377759254999996,60.0,-10.569311264366888,0,7,0,0.0,-0.5682120000000013,-5.838860281999997,-9.377759254999996,57.14285714285714,-10.569311264366888,0
