directory,candidate,condition,count,targetHits,targetFrequencyPct,medianPct,p10Pct,worstPct,lossFrequencyPct,worstDrawdownPct,unclosed,nonoverlapping_count,nonoverlapping_targetHits,nonoverlapping_targetFrequencyPct,nonoverlapping_medianPct,nonoverlapping_p10Pct,nonoverlapping_worstPct,nonoverlapping_lossFrequencyPct,nonoverlapping_worstDrawdownPct,nonoverlapping_unclosed
expanded/development-verified,momentum-120-5-monthly,export_recovery,2,2,100.0,13.023295099499999,12.536682355099993,12.415029168999991,0.0,-5.009468500000002,0,2,2,100.0,13.023295099499999,12.536682355099993,12.415029168999991,0.0,-5.009468500000002,0
expanded/development-verified,momentum-20-3-monthly,all,46,18,39.130434782608695,-0.5325445705000098,-11.199567124999998,-15.948864411999997,50.0,-17.348714906638108,0,14,8,57.14285714285714,11.369237642749997,-10.348388838,-11.002209512500006,35.714285714285715,-13.209856365109395,0
expanded/development-verified,momentum-20-3-monthly,export_growth,12,5,41.66666666666667,1.87216261,-9.144009338250005,-11.396924737499992,50.0,-13.860461203869201,0,6,3,50.0,7.707810017500016,-7.3524461867500115,-9.233992310000005,33.33333333333333,-13.860461203869201,0
expanded/development-verified,momentum-20-3-monthly,recovery,10,4,40.0,-1.0699546380000147,-11.16384729565,-14.204586806500007,50.0,-16.74107695331112,0,7,2,28.57142857142857,-5.470900063500017,-9.982195930499996,-10.825987349999998,57.14285714285714,-13.860461203869201,0
expanded/development-verified,momentum-20-3-monthly,export_recovery,2,1,50.0,3.272590875749992,-3.7222018756500153,-5.470900063500017,50.0,-13.860461203869201,0,2,1,50.0,3.272590875749992,-3.7222018756500153,-5.470900063500017,50.0,-13.860461203869201,0
expanded/development-verified,momentum-20-5-monthly,all,46,12,26.08695652173913,-2.6623854887500134,-10.48295040524999,-13.762627243499992,58.69565217391305,-15.634823904635597,2,14,6,42.857142857142854,0.5678171912499808,-9.207714970249993,-9.340186769499992,50.0,-15.634823904635597,1
expanded/development-verified,momentum-20-5-monthly,export_growth,12,6,50.0,8.738607190000014,-10.794621070900009,-11.96134365000001,41.66666666666667,-12.15464544,2,6,3,50.0,3.6250747400000067,-9.808127620500013,-11.041244433500008,50.0,-11.344873573520031,1
expanded/development-verified,momentum-20-5-monthly,recovery,10,3,30.0,-9.317882934749994,-10.245398863099986,-11.041244433500008,60.0,-15.634823904635597,0,7,2,28.57142857142857,-9.340186769499992,-10.510680719899995,-11.041244433500008,57.14285714285714,-11.649592597516135,0
expanded/development-verified,momentum-20-5-monthly,export_recovery,2,1,50.0,0.1576432207499927,-8.801466902650008,-11.041244433500008,50.0,-11.344873573520031,0,2,1,50.0,0.1576432207499927,-8.801466902650008,-11.041244433500008,50.0,-11.344873573520031,0
expanded/development-verified,momentum-60-3-monthly,all,46,18,39.130434782608695,-3.104917149499997,-12.831418082499995,-18.490885422500003,54.347826086956516,-24.983388192823487,0,14,7,50.0,1.6812733697500022,-12.076796961500007,-17.202176702500005,50.0,-17.202176702500005,0
expanded/development-verified,momentum-60-3-monthly,export_growth,12,7,58.333333333333336,10.603673571249983,-6.674131176000009,-13.867370259999989,33.33333333333333,-13.867370259999989,0,6,3,50.0,9.758948914999998,-4.49190094450001,-6.8366489300000115,33.33333333333333,-12.340756506787665,0
expanded/development-verified,momentum-60-3-monthly,recovery,10,4,40.0,6.858871647500008,-12.027629791250005,-12.383267165000012,40.0,-12.669759082369348,0,7,3,42.857142857142854,8.902278350000014,-10.139734343499994,-11.988114527500004,28.57142857142857,-12.669759082369348,0
expanded/development-verified,momentum-60-3-monthly,export_recovery,2,1,50.0,9.758948914999998,9.07361246300001,8.902278350000014,0.0,-6.49095001831207,0,2,1,50.0,9.758948914999998,9.07361246300001,8.902278350000014,0.0,-6.49095001831207,0
expanded/development-verified,momentum-60-5-monthly,all,46,16,34.78260869565217,-4.697129382749998,-11.546885724000006,-15.340965159000008,60.86956521739131,-20.39787906149956,1,14,7,50.0,2.0377191712499796,-10.535656130749995,-11.140582075000005,50.0,-11.75039897495168,0
expanded/development-verified,momentum-60-5-monthly,export_growth,12,7,58.333333333333336,11.5876498125,-8.769172313000016,-11.238330072500002,41.66666666666667,-14.850356689578447,1,6,4,66.66666666666666,11.866281057500006,-5.313033546250011,-8.967142282500017,33.33333333333333,-14.850356689578447,1
